CCAA;año;edad;sexo;tasa_empleo;tasa_paro;tasa_actividad;;;;;;;;
            06 Cantabria;2022;        De 16 a 19 años;Hombres;14.65;44.44;29.22;;;;;;;;
            07 Castilla y León;2022;        De 16 a 19 años;Hombres;19.70;44.37;35.29;;;;;;;;
            08 Castilla - La Mancha;2022;        De 16 a 19 años;Hombres;17.87;44.87;38.97;;;;;;;;
            09 Cataluña;2022;        De 16 a 19 años;Hombres;24.45;38.31;44.16;;;;;;;;
            10 Comunitat Valenciana;2022;        De 16 a 19 años;Hombres;22.33;45.14;43.59;;;;;;;;
            11 Extremadura;2022;        De 16 a 19 años;Hombres;20.19;56.07;42.23;;;;;;;;
            12 Galicia;2022;        De 16 a 19 años;Hombres;18.06;39.00;33.26;;;;;;;;
            13 Madrid, Comunidad de;2022;        De 16 a 19 años;Hombres;22.90;56.74;42.60;;;;;;;;
            14 Murcia, Región de;2022;        De 16 a 19 años;Hombres;24.08;57.64;45.55;;;;;;;;
            15 Navarra, Comunidad Foral de;2022;        De 16 a 19 años;Hombres;19.42;47.12;32.46;;;;;;;;
            16 País Vasco;2022;        De 16 a 19 años;Hombres;17.92;34.04;31.94;;;;;;;;
            17 Rioja, La;2022;        De 16 a 19 años;Hombres;22.21;37.14;38.11;;;;;;;;
            18 Ceuta;2022;        De 16 a 19 años;Hombres;7.89;90.77;33.20;;;;;;;;
            19 Melilla;2022;        De 16 a 19 años;Hombres;15.32;100.00;40.60;;;;;;;;
            01 Andalucía;2022;        De 20 a 24 años;Hombres;16.35;28.57;42.86;;;;;;;;
            02 Aragón;2022;        De 20 a 24 años;Hombres;18.60;18.20;38.63;;;;;;;;
            03 Asturias, Principado de;2022;        De 20 a 24 años;Hombres;17.05;36.00;30.62;;;;;;;;
            04 Balears, Illes;2022;        De 20 a 24 años;Hombres;26.50;24.37;46.44;;;;;;;;
            05 Canarias;2022;        De 20 a 24 años;Hombres;17.69;41.51;41.70;;;;;;;;
            06 Cantabria;2022;        De 20 a 24 años;Hombres;14.62;21.42;31.64;;;;;;;;
            07 Castilla y León;2022;        De 20 a 24 años;Hombres;19.53;22.78;37.56;;;;;;;;
            08 Castilla - La Mancha;2022;        De 20 a 24 años;Hombres;16.32;24.34;43.88;;;;;;;;
            09 Cataluña;2022;        De 20 a 24 años;Hombres;24.34;18.31;47.27;;;;;;;;
            10 Comunitat Valenciana;2022;        De 20 a 24 años;Hombres;18.32;23.35;43.27;;;;;;;;
            11 Extremadura;2022;        De 20 a 24 años;Hombres;18.03;33.19;39.86;;;;;;;;
            12 Galicia;2022;        De 20 a 24 años;Hombres;18.59;30.40;36.39;;;;;;;;
            13 Madrid, Comunidad de;2022;        De 20 a 24 años;Hombres;21.01;27.18;39.58;;;;;;;;
            14 Murcia, Región de;2022;        De 20 a 24 años;Hombres;22.09;20.90;42.93;;;;;;;;
            15 Navarra, Comunidad Foral de;2022;        De 20 a 24 años;Hombres;16.48;19.51;36.08;;;;;;;;
            16 País Vasco;2022;        De 20 a 24 años;Hombres;15.88;24.42;29.75;;;;;;;;
            17 Rioja, La;2022;        De 20 a 24 años;Hombres;23.36;21.56;42.48;;;;;;;;
            18 Ceuta;2022;        De 20 a 24 años;Hombres;16.50;17.48;39.39;;;;;;;;
            19 Melilla;2022;        De 20 a 24 años;Hombres;19.22;49.13;29.80;;;;;;;;
            01 Andalucía;2022;        De 25 a 54 años;Hombres;14.92;14.50;42.94;;;;;;;;
            02 Aragón;2022;        De 25 a 54 años;Hombres;21.02;6.56;42.96;;;;;;;;
            03 Asturias, Principado de;2022;        De 25 a 54 años;Hombres;17.95;10.73;38.20;;;;;;;;
            04 Balears, Illes;2022;        De 25 a 54 años;Hombres;29.23;8.97;49.40;;;;;;;;
